E0=1.626748	epsilon=0.010000
-6.000000	0.000000
-5.988000	0.000002
-5.976000	0.000004
-5.964000	0.000006
-5.952000	0.000009
-5.940000	0.000011
-5.928000	0.000013
-5.916000	0.000015
-5.904000	0.000018
-5.892000	0.000020
-5.880000	0.000022
-5.868000	0.000025
-5.856000	0.000027
-5.844000	0.000030
-5.832000	0.000033
-5.820000	0.000036
-5.808000	0.000038
-5.796000	0.000041
-5.784000	0.000045
-5.772000	0.000048
-5.760000	0.000051
-5.748000	0.000055
-5.736000	0.000058
-5.724000	0.000062
-5.712000	0.000066
-5.700000	0.000070
-5.688000	0.000074
-5.676000	0.000078
-5.664000	0.000083
-5.652000	0.000088
-5.640000	0.000093
-5.628000	0.000098
-5.616000	0.000104
-5.604000	0.000109
-5.592000	0.000115
-5.580000	0.000121
-5.568000	0.000128
-5.556000	0.000135
-5.544000	0.000142
-5.532000	0.000149
-5.520000	0.000157
-5.508000	0.000165
-5.496000	0.000174
-5.484000	0.000182
-5.472000	0.000192
-5.460000	0.000201
-5.448000	0.000211
-5.436000	0.000222
-5.424000	0.000233
-5.412000	0.000244
-5.400000	0.000256
-5.388000	0.000269
-5.376000	0.000282
-5.364000	0.000295
-5.352000	0.000309
-5.340000	0.000324
-5.328000	0.000340
-5.316000	0.000356
-5.304000	0.000372
-5.292000	0.000390
-5.280000	0.000408
-5.268000	0.000427
-5.256000	0.000447
-5.244000	0.000468
-5.232000	0.000489
-5.220000	0.000512
-5.208000	0.000535
-5.196000	0.000559
-5.184000	0.000584
-5.172000	0.000611
-5.160000	0.000638
-5.148000	0.000667
-5.136000	0.000696
-5.124000	0.000727
-5.112000	0.000759
-5.100000	0.000793
-5.088000	0.000827
-5.076000	0.000864
-5.064000	0.000901
-5.052000	0.000940
-5.040000	0.000981
-5.028000	0.001023
-5.016000	0.001066
-5.004000	0.001112
-4.992000	0.001159
-4.980000	0.001208
-4.968000	0.001259
-4.956000	0.001312
-4.944000	0.001366
-4.932000	0.001423
-4.920000	0.001482
-4.908000	0.001543
-4.896000	0.001607
-4.884000	0.001673
-4.872000	0.001741
-4.860000	0.001811
-4.848000	0.001885
-4.836000	0.001961
-4.824000	0.002039
-4.812000	0.002121
-4.800000	0.002205
-4.788000	0.002292
-4.776000	0.002383
-4.764000	0.002476
-4.752000	0.002573
-4.740000	0.002674
-4.728000	0.002778
-4.716000	0.002885
-4.704000	0.002996
-4.692000	0.003111
-4.680000	0.003230
-4.668000	0.003352
-4.656000	0.003479
-4.644000	0.003611
-4.632000	0.003746
-4.620000	0.003886
-4.608000	0.004031
-4.596000	0.004180
-4.584000	0.004335
-4.572000	0.004494
-4.560000	0.004659
-4.548000	0.004829
-4.536000	0.005004
-4.524000	0.005185
-4.512000	0.005371
-4.500000	0.005564
-4.488000	0.005763
-4.476000	0.005967
-4.464000	0.006178
-4.452000	0.006396
-4.440000	0.006620
-4.428000	0.006852
-4.416000	0.007090
-4.404000	0.007335
-4.392000	0.007588
-4.380000	0.007848
-4.368000	0.008117
-4.356000	0.008393
-4.344000	0.008677
-4.332000	0.008969
-4.320000	0.009270
-4.308000	0.009580
-4.296000	0.009899
-4.284000	0.010226
-4.272000	0.010564
-4.260000	0.010910
-4.248000	0.011267
-4.236000	0.011633
-4.224000	0.012010
-4.212000	0.012397
-4.200000	0.012794
-4.188000	0.013203
-4.176000	0.013622
-4.164000	0.014053
-4.152000	0.014496
-4.140000	0.014950
-4.128000	0.015416
-4.116000	0.015895
-4.104000	0.016386
-4.092000	0.016890
-4.080000	0.017407
-4.068000	0.017938
-4.056000	0.018482
-4.044000	0.019039
-4.032000	0.019611
-4.020000	0.020198
-4.008000	0.020799
-3.996000	0.021414
-3.984000	0.022045
-3.972000	0.022692
-3.960000	0.023354
-3.948000	0.024032
-3.936000	0.024726
-3.924000	0.025437
-3.912000	0.026165
-3.900000	0.026910
-3.888000	0.027672
-3.876000	0.028452
-3.864000	0.029250
-3.852000	0.030067
-3.840000	0.030902
-3.828000	0.031755
-3.816000	0.032628
-3.804000	0.033521
-3.792000	0.034433
-3.780000	0.035365
-3.768000	0.036317
-3.756000	0.037290
-3.744000	0.038284
-3.732000	0.039299
-3.720000	0.040336
-3.708000	0.041394
-3.696000	0.042475
-3.684000	0.043578
-3.672000	0.044703
-3.660000	0.045852
-3.648000	0.047024
-3.636000	0.048219
-3.624000	0.049438
-3.612000	0.050681
-3.600000	0.051949
-3.588000	0.053241
-3.576000	0.054559
-3.564000	0.055901
-3.552000	0.057269
-3.540000	0.058663
-3.528000	0.060082
-3.516000	0.061528
-3.504000	0.063001
-3.492000	0.064500
-3.480000	0.066026
-3.468000	0.067580
-3.456000	0.069161
-3.444000	0.070770
-3.432000	0.072407
-3.420000	0.074072
-3.408000	0.075766
-3.396000	0.077488
-3.384000	0.079240
-3.372000	0.081020
-3.360000	0.082830
-3.348000	0.084669
-3.336000	0.086538
-3.324000	0.088436
-3.312000	0.090365
-3.300000	0.092324
-3.288000	0.094314
-3.276000	0.096333
-3.264000	0.098384
-3.252000	0.100465
-3.240000	0.102578
-3.228000	0.104721
-3.216000	0.106896
-3.204000	0.109102
-3.192000	0.111339
-3.180000	0.113607
-3.168000	0.115907
-3.156000	0.118239
-3.144000	0.120603
-3.132000	0.122998
-3.120000	0.125424
-3.108000	0.127883
-3.096000	0.130373
-3.084000	0.132895
-3.072000	0.135449
-3.060000	0.138034
-3.048000	0.140652
-3.036000	0.143300
-3.024000	0.145981
-3.012000	0.148693
-3.000000	0.151436
-2.988000	0.154210
-2.976000	0.157016
-2.964000	0.159853
-2.952000	0.162721
-2.940000	0.165619
-2.928000	0.168548
-2.916000	0.171508
-2.904000	0.174498
-2.892000	0.177518
-2.880000	0.180567
-2.868000	0.183647
-2.856000	0.186755
-2.844000	0.189893
-2.832000	0.193059
-2.820000	0.196254
-2.808000	0.199477
-2.796000	0.202728
-2.784000	0.206006
-2.772000	0.209311
-2.760000	0.212643
-2.748000	0.216002
-2.736000	0.219386
-2.724000	0.222796
-2.712000	0.226231
-2.700000	0.229691
-2.688000	0.233174
-2.676000	0.236681
-2.664000	0.240212
-2.652000	0.243765
-2.640000	0.247340
-2.628000	0.250936
-2.616000	0.254554
-2.604000	0.258192
-2.592000	0.261849
