E0=3.228912	epsilon=0.030000
-6.000000	0.000000
-5.988000	0.000000
-5.976000	0.000000
-5.964000	0.000000
-5.952000	0.000001
-5.940000	0.000001
-5.928000	0.000001
-5.916000	0.000001
-5.904000	0.000001
-5.892000	0.000002
-5.880000	0.000002
-5.868000	0.000002
-5.856000	0.000002
-5.844000	0.000003
-5.832000	0.000003
-5.820000	0.000003
-5.808000	0.000003
-5.796000	0.000004
-5.784000	0.000004
-5.772000	0.000004
-5.760000	0.000005
-5.748000	0.000005
-5.736000	0.000006
-5.724000	0.000006
-5.712000	0.000007
-5.700000	0.000007
-5.688000	0.000008
-5.676000	0.000008
-5.664000	0.000009
-5.652000	0.000010
-5.640000	0.000010
-5.628000	0.000011
-5.616000	0.000012
-5.604000	0.000013
-5.592000	0.000014
-5.580000	0.000015
-5.568000	0.000016
-5.556000	0.000017
-5.544000	0.000019
-5.532000	0.000020
-5.520000	0.000022
-5.508000	0.000023
-5.496000	0.000025
-5.484000	0.000027
-5.472000	0.000028
-5.460000	0.000031
-5.448000	0.000033
-5.436000	0.000035
-5.424000	0.000037
-5.412000	0.000040
-5.400000	0.000043
-5.388000	0.000046
-5.376000	0.000049
-5.364000	0.000052
-5.352000	0.000056
-5.340000	0.000060
-5.328000	0.000064
-5.316000	0.000068
-5.304000	0.000073
-5.292000	0.000078
-5.280000	0.000083
-5.268000	0.000089
-5.256000	0.000094
-5.244000	0.000101
-5.232000	0.000107
-5.220000	0.000114
-5.208000	0.000122
-5.196000	0.000130
-5.184000	0.000138
-5.172000	0.000147
-5.160000	0.000156
-5.148000	0.000166
-5.136000	0.000177
-5.124000	0.000188
-5.112000	0.000200
-5.100000	0.000212
-5.088000	0.000226
-5.076000	0.000240
-5.064000	0.000254
-5.052000	0.000270
-5.040000	0.000286
-5.028000	0.000304
-5.016000	0.000322
-5.004000	0.000342
-4.992000	0.000362
-4.980000	0.000384
-4.968000	0.000407
-4.956000	0.000431
-4.944000	0.000456
-4.932000	0.000483
-4.920000	0.000511
-4.908000	0.000541
-4.896000	0.000572
-4.884000	0.000605
-4.872000	0.000639
-4.860000	0.000676
-4.848000	0.000714
-4.836000	0.000755
-4.824000	0.000797
-4.812000	0.000841
-4.800000	0.000888
-4.788000	0.000937
-4.776000	0.000989
-4.764000	0.001043
-4.752000	0.001100
-4.740000	0.001160
-4.728000	0.001222
-4.716000	0.001288
-4.704000	0.001357
-4.692000	0.001429
-4.680000	0.001505
-4.668000	0.001584
-4.656000	0.001667
-4.644000	0.001754
-4.632000	0.001845
-4.620000	0.001941
-4.608000	0.002040
-4.596000	0.002144
-4.584000	0.002254
-4.572000	0.002368
-4.560000	0.002487
-4.548000	0.002611
-4.536000	0.002741
-4.524000	0.002877
-4.512000	0.003019
-4.500000	0.003167
-4.488000	0.003322
-4.476000	0.003483
-4.464000	0.003651
-4.452000	0.003826
-4.440000	0.004009
-4.428000	0.004200
-4.416000	0.004398
-4.404000	0.004605
-4.392000	0.004820
-4.380000	0.005045
-4.368000	0.005278
-4.356000	0.005521
-4.344000	0.005773
-4.332000	0.006036
-4.320000	0.006310
-4.308000	0.006594
-4.296000	0.006889
-4.284000	0.007196
-4.272000	0.007514
-4.260000	0.007845
-4.248000	0.008189
-4.236000	0.008545
-4.224000	0.008916
-4.212000	0.009299
-4.200000	0.009698
-4.188000	0.010111
-4.176000	0.010539
-4.164000	0.010982
-4.152000	0.011442
-4.140000	0.011918
-4.128000	0.012411
-4.116000	0.012922
-4.104000	0.013450
-4.092000	0.013997
-4.080000	0.014563
-4.068000	0.015148
-4.056000	0.015753
-4.044000	0.016379
-4.032000	0.017025
-4.020000	0.017693
-4.008000	0.018383
-3.996000	0.019096
-3.984000	0.019832
-3.972000	0.020591
-3.960000	0.021375
-3.948000	0.022184
-3.936000	0.023018
-3.924000	0.023878
-3.912000	0.024765
-3.900000	0.025679
-3.888000	0.026621
-3.876000	0.027591
-3.864000	0.028591
-3.852000	0.029620
-3.840000	0.030679
-3.828000	0.031769
-3.816000	0.032891
-3.804000	0.034045
-3.792000	0.035231
-3.780000	0.036451
-3.768000	0.037705
-3.756000	0.038993
-3.744000	0.040317
-3.732000	0.041676
-3.720000	0.043073
-3.708000	0.044506
-3.696000	0.045977
-3.684000	0.047486
-3.672000	0.049034
-3.660000	0.050622
-3.648000	0.052250
-3.636000	0.053919
-3.624000	0.055629
-3.612000	0.057381
-3.600000	0.059176
-3.588000	0.061013
-3.576000	0.062895
-3.564000	0.064820
-3.552000	0.066790
-3.540000	0.068806
-3.528000	0.070867
-3.516000	0.072975
-3.504000	0.075130
-3.492000	0.077331
-3.480000	0.079581
-3.468000	0.081879
-3.456000	0.084225
-3.444000	0.086620
-3.432000	0.089065
-3.420000	0.091560
-3.408000	0.094105
-3.396000	0.096700
-3.384000	0.099346
-3.372000	0.102043
-3.360000	0.104792
-3.348000	0.107592
-3.336000	0.110445
-3.324000	0.113349
-3.312000	0.116306
-3.300000	0.119315
-3.288000	0.122376
-3.276000	0.125490
-3.264000	0.128657
-3.252000	0.131877
-3.240000	0.135149
-3.228000	0.138474
-3.216000	0.141852
-3.204000	0.145282
-3.192000	0.148764
-3.180000	0.152299
-3.168000	0.155886
-3.156000	0.159524
-3.144000	0.163214
-3.132000	0.166955
-3.120000	0.170748
-3.108000	0.174590
-3.096000	0.178483
-3.084000	0.182425
-3.072000	0.186416
-3.060000	0.190456
-3.048000	0.194544
-3.036000	0.198679
-3.024000	0.202860
-3.012000	0.207088
-3.000000	0.211361
-2.988000	0.215677
-2.976000	0.220038
-2.964000	0.224441
-2.952000	0.228885
-2.940000	0.233370
-2.928000	0.237895
-2.916000	0.242458
-2.904000	0.247059
-2.892000	0.251696
-2.880000	0.256367
-2.868000	0.261073
-2.856000	0.265811
-2.844000	0.270580
-2.832000	0.275378
