E0=0.549072	epsilon=0.020000
-6.000000	0.000000
-5.988000	0.000000
-5.976000	0.000000
-5.964000	0.000000
-5.952000	0.000000
-5.940000	0.000000
-5.928000	0.000000
-5.916000	0.000000
-5.904000	0.000000
-5.892000	0.000001
-5.880000	0.000001
-5.868000	0.000001
-5.856000	0.000001
-5.844000	0.000001
-5.832000	0.000001
-5.820000	0.000001
-5.808000	0.000001
-5.796000	0.000001
-5.784000	0.000001
-5.772000	0.000001
-5.760000	0.000001
-5.748000	0.000002
-5.736000	0.000002
-5.724000	0.000002
-5.712000	0.000002
-5.700000	0.000002
-5.688000	0.000002
-5.676000	0.000002
-5.664000	0.000003
-5.652000	0.000003
-5.640000	0.000003
-5.628000	0.000003
-5.616000	0.000003
-5.604000	0.000004
-5.592000	0.000004
-5.580000	0.000004
-5.568000	0.000004
-5.556000	0.000005
-5.544000	0.000005
-5.532000	0.000005
-5.520000	0.000006
-5.508000	0.000006
-5.496000	0.000007
-5.484000	0.000007
-5.472000	0.000007
-5.460000	0.000008
-5.448000	0.000008
-5.436000	0.000009
-5.424000	0.000009
-5.412000	0.000010
-5.400000	0.000011
-5.388000	0.000011
-5.376000	0.000012
-5.364000	0.000013
-5.352000	0.000014
-5.340000	0.000014
-5.328000	0.000015
-5.316000	0.000016
-5.304000	0.000017
-5.292000	0.000018
-5.280000	0.000019
-5.268000	0.000020
-5.256000	0.000022
-5.244000	0.000023
-5.232000	0.000024
-5.220000	0.000026
-5.208000	0.000027
-5.196000	0.000029
-5.184000	0.000031
-5.172000	0.000032
-5.160000	0.000034
-5.148000	0.000036
-5.136000	0.000038
-5.124000	0.000040
-5.112000	0.000043
-5.100000	0.000045
-5.088000	0.000048
-5.076000	0.000050
-5.064000	0.000053
-5.052000	0.000056
-5.040000	0.000059
-5.028000	0.000063
-5.016000	0.000066
-5.004000	0.000070
-4.992000	0.000073
-4.980000	0.000077
-4.968000	0.000082
-4.956000	0.000086
-4.944000	0.000091
-4.932000	0.000095
-4.920000	0.000101
-4.908000	0.000106
-4.896000	0.000112
-4.884000	0.000117
-4.872000	0.000124
-4.860000	0.000130
-4.848000	0.000137
-4.836000	0.000144
-4.824000	0.000151
-4.812000	0.000159
-4.800000	0.000167
-4.788000	0.000176
-4.776000	0.000185
-4.764000	0.000194
-4.752000	0.000204
-4.740000	0.000214
-4.728000	0.000225
-4.716000	0.000236
-4.704000	0.000247
-4.692000	0.000260
-4.680000	0.000272
-4.668000	0.000286
-4.656000	0.000300
-4.644000	0.000314
-4.632000	0.000329
-4.620000	0.000345
-4.608000	0.000362
-4.596000	0.000379
-4.584000	0.000397
-4.572000	0.000416
-4.560000	0.000435
-4.548000	0.000456
-4.536000	0.000477
-4.524000	0.000499
-4.512000	0.000522
-4.500000	0.000546
-4.488000	0.000571
-4.476000	0.000597
-4.464000	0.000625
-4.452000	0.000653
-4.440000	0.000682
-4.428000	0.000713
-4.416000	0.000745
-4.404000	0.000778
-4.392000	0.000812
-4.380000	0.000848
-4.368000	0.000886
-4.356000	0.000924
-4.344000	0.000965
-4.332000	0.001006
-4.320000	0.001050
-4.308000	0.001095
-4.296000	0.001142
-4.284000	0.001191
-4.272000	0.001241
-4.260000	0.001293
-4.248000	0.001348
-4.236000	0.001404
-4.224000	0.001463
-4.212000	0.001523
-4.200000	0.001586
-4.188000	0.001652
-4.176000	0.001719
-4.164000	0.001789
-4.152000	0.001862
-4.140000	0.001937
-4.128000	0.002015
-4.116000	0.002096
-4.104000	0.002179
-4.092000	0.002265
-4.080000	0.002355
-4.068000	0.002447
-4.056000	0.002543
-4.044000	0.002642
-4.032000	0.002745
-4.020000	0.002850
-4.008000	0.002960
-3.996000	0.003073
-3.984000	0.003190
-3.972000	0.003311
-3.960000	0.003436
-3.948000	0.003565
-3.936000	0.003698
-3.924000	0.003835
-3.912000	0.003977
-3.900000	0.004124
-3.888000	0.004275
-3.876000	0.004431
-3.864000	0.004592
-3.852000	0.004758
-3.840000	0.004929
-3.828000	0.005105
-3.816000	0.005287
-3.804000	0.005475
-3.792000	0.005668
-3.780000	0.005867
-3.768000	0.006072
-3.756000	0.006283
-3.744000	0.006501
-3.732000	0.006725
-3.720000	0.006955
-3.708000	0.007193
-3.696000	0.007437
-3.684000	0.007688
-3.672000	0.007947
-3.660000	0.008213
-3.648000	0.008487
-3.636000	0.008768
-3.624000	0.009057
-3.612000	0.009354
-3.600000	0.009660
-3.588000	0.009974
-3.576000	0.010296
-3.564000	0.010627
-3.552000	0.010968
-3.540000	0.011317
-3.528000	0.011676
-3.516000	0.012044
-3.504000	0.012422
-3.492000	0.012810
-3.480000	0.013208
-3.468000	0.013617
-3.456000	0.014035
-3.444000	0.014465
-3.432000	0.014905
-3.420000	0.015357
-3.408000	0.015820
-3.396000	0.016294
-3.384000	0.016780
-3.372000	0.017278
-3.360000	0.017789
-3.348000	0.018311
-3.336000	0.018846
-3.324000	0.019394
-3.312000	0.019955
-3.300000	0.020529
-3.288000	0.021117
-3.276000	0.021718
-3.264000	0.022334
-3.252000	0.022963
-3.240000	0.023607
-3.228000	0.024265
-3.216000	0.024938
-3.204000	0.025626
-3.192000	0.026329
-3.180000	0.027048
-3.168000	0.027782
-3.156000	0.028533
-3.144000	0.029299
-3.132000	0.030082
-3.120000	0.030881
-3.108000	0.031698
-3.096000	0.032531
-3.084000	0.033382
-3.072000	0.034250
-3.060000	0.035135
-3.048000	0.036039
-3.036000	0.036961
-3.024000	0.037902
-3.012000	0.038861
-3.000000	0.039839
-2.988000	0.040835
-2.976000	0.041852
-2.964000	0.042887
-2.952000	0.043943
-2.940000	0.045018
-2.928000	0.046114
-2.916000	0.047230
-2.904000	0.048366
-2.892000	0.049524
-2.880000	0.050702
-2.868000	0.051902
-2.856000	0.053122
-2.844000	0.054365
-2.832000	0.055629
